[22/12/2023 10:00:31.206]	188e0bc3-49e3-4f62-b74c-40423bfa66d4	GET	http://localhost:3000	/ws
[22/12/2023 10:00:47.826]	94e9e8ec-cddf-438a-b41c-a2079b64ca73	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:00:47.830]	f8d2b2af-d0e5-4146-9e52-6bb6541f2c15	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:00:49.550]	ab9817c1-f5bf-4387-a74b-16dbbd209bae	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 10:00:51.556]	cf735e72-e499-4895-a0cb-49a3ce2565f2	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:20:07.307]	bb9766f8-514c-4983-a698-eaff9fe8b275	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:20:07.309]	3638458d-a4cf-4590-872f-a90cfa185afb	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:20:51.161]	7548feb5-66e4-4b27-ab31-214144dd0dda	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:20:51.164]	c34aedcc-0c71-4bb8-a501-b98d4317903e	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:21:06.287]	32445e75-46ae-4a2a-ab5d-ae8bd79df061	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 10:21:11.144]	0e999a73-0d6f-4cc2-b787-bf27a9b5f666	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:21:11.148]	ad189318-cb1b-405d-91c1-0fcc9685b117	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:24:30.065]	c2b108ad-9ff8-4584-9bef-a9b5b840f2a3	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:24:30.068]	4e0eda7b-2e97-4bb4-9c1e-d7ffb68f4df4	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:24:38.647]	7ab91047-f146-4db4-a5a6-025132c996e3	OPTIONS	http://localhost:3001	/api/users/v1/authentication/logout
[22/12/2023 10:24:39.892]	0c07e4af-0b34-4c55-93e9-db3ba6e88ce8	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:24:39.894]	736fbd9c-a965-40eb-a368-201b98b914b6	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:25:20.115]	12a5f76f-1cd0-4546-bb77-c364b5ddc6e9	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:25:20.117]	0e552620-7e0f-442e-9c15-3084bdf38c71	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:27:21.394]	cd670098-1e39-4b5d-90ee-4de2563dc55b	OPTIONS	http://localhost:3001	/api/users/v1/authentication/loginuser
[22/12/2023 10:27:21.397]	d231f2ea-be91-4709-9bff-4df2c78cf2e6	POST	http://localhost:3001	/api/users/v1/authentication/loginuser
